punk_attribute
Small Shades                   378                               49                               74.00Ξ                89Ξ
Clown Eyes Green                   382                               40                               51.04Ξ                81Ξ
Clown Eyes Blue                   384                               46                               54.07Ξ                84.99Ξ
Headband                   406                               37                               55.90Ξ                92Ξ
Crazy Hair                   414                               39                               78.46Ξ                85Ξ
Knitted Cap                   419                               47                               65.03Ξ                88.30Ξ
Mohawk Dark                   429                               36                               67.65Ξ                83.95Ξ
Mohawk                   441                               36                               65.51Ξ                82.69Ξ
Mohawk Thin                   441                               55                               52.21Ξ                84.69Ξ
Frumpy Hair                   442                               34                               59.94Ξ                81Ξ
Wild Hair                   447                               50                               79.27Ξ                82.99Ξ
Messy Hair                   460                               55                               58.09Ξ                84.99Ξ
Eye Patch                   461                               61                               81.44Ξ                84.69Ξ
Stringy Hair                   463                               47                               53.55Ξ                84.50Ξ
Bandana                   481                               56                               62.92Ξ                82.50Ξ
Classic Shades                   502                               63                               73.27Ξ                80.95Ξ
Shadow Beard                   526                               50                               73.90Ξ                87.99Ξ
Regular Shades                   527                               66                               65Ξ                90.69Ξ
Horned Rim Glasses                   535                               49                               69.97Ξ                89.10Ξ
Big Shades                   535                               73                               77.30Ξ                95.99Ξ
Nerd Glasses                   572                               54                               70.06Ξ                85Ξ
Black Lipstick                   617                               60                               60.54Ξ                82.69Ξ
Mole                   644                               71                               60.86Ξ                85Ξ
Purple Lipstick                   655                               73                               51.60Ξ                84.50Ξ
Hot Lipstick                   696                               81                               68.00Ξ                82.50Ξ
Cigarette                   961                               111                               70.70Ξ                87.88Ξ
Earring                   2459                               268                               64.45Ξ                84.68Ξ
0 Attributes                   8                               0                               0
1 Attributes                   333                               30                               271.49Ξ                96.95Ξ
2 Attributes                   3560                               374                               68.79Ξ                81Ξ
3 Attributes                   4501                               509                               70.99Ξ                80.95Ξ
4 Attributes                   1420                               189                               68.53Ξ                84.95Ξ
5 Attributes                   166                               35                               93.31Ξ                103Ξ
6 Attributes                   11                               3                               398.95Ξ                1.5KΞ
7 Attributes                   1                               0                               0
